KEY,NOTES,ENGLISH,SIMPLIFIED CHINESE
ROOMS.STOCKPILE.TOOLTIP,,This area stores different kinds of items depending on settings.,存放各类物品的地方，具体根据你的设置而定。
ROOMS.STOCKPILES,,Stockpiles,贮存处
ROOMS.STOCKPILES.TOOLTIP,,Unused items are placed in stockpiles for easy access.,未使用的物品放在这里便于存取。
ROOMS.STOCKPILE_WITH_GROUP_NAME,,{{stockpileGroupName}} {{roomTypeName}},{{stockpileGroupName}} {{roomTypeName}}
ROOMS.TEXTILE_WORKSHOP,,Textile workshop,纺织车间
ROOMS.TEXTILE_WORKSHOP.TOOLTIP,,Processes {{SEED.HEMP_SEED}} into textiles for a variety of uses.,将{{SEED.HEMP_SEED}}加工成用途广泛的纺织品。
ROOMS.TRADING_DEPOT,,Trading depot,贸易站
ROOMS.TRADING_DEPOT.TOOLTIP,,Buy and sell items with visiting merchants.,与到访的商人做生意。

ROPE.AGED_ROPE,,Aged,老旧
ROPE.BRONZED_ROPE,,Bronzed,古铜色
ROPE.GRAY_ROPE,,Gray,灰色
ROPE.HEMP-ROPE,,Hemp,火麻
ROPE.TOBACCO_ROPE,Just to describe a light colour,Light,浅色

RUSTED_SCRAP.NOUN,,Scrap,废料
RUSTED_SCRAP.TOOLTIP,,These are the remains of an item that has completed corroded due to rust.,已经彻底锈蚀的无用之物。

SEASON.AUTUMN,,Autumn,秋季
SEASON.SPRING,,Spring,春季
SEASON.SUMMER,,Summer,夏季
SEASON.WINTER,,Winter,冬季

SEED.BARLEY_SEED,,Barley,大麦
SEED.BARLEY_SEED.TOOLTIP,{{VEGETABLE.BARLEY.TOOLTIP}},"A grain used only in the production of beer. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}.",仅用于酿制啤酒的谷物。{{SEASON.SPRING}}，{{SEASON.SUMMER}}和{{SEASON.AUTUMN}}都可以种植。
SEED.BERSERKER_MUSHROOM_SPAWN,,Berserker,狂战士
SEED.BERSERKER_MUSHROOM_SPAWN.TOOLTIP,{{VEGETABLE.BERSERKER_MUSHROOM.TOOLTIP}},A mushroom with a pink-red cap bearing white spots. It has hallucinogenic properties which warriors sometimes use in preparation for battle.,菌盖呈粉红色且有白色斑点。由于具有致幻性，有时候战士会在准备战斗的时候食用。
SEED.CARROT_SEED,,Carrot,胡萝卜
SEED.CARROT_SEED.TOOLTIP,{{VEGETABLE.CARROT.TOOLTIP}},"A hardy root vegetable that survives the {{SEASON.WINTER}} frost. Carrots grow quickly but only produce a small crop. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}.",耐寒的根茎类蔬菜，即使在{{SEASON.WINTER}}的森林里也能存活。生长快，但产量较小。{{SEASON.SPRING}}，{{SEASON.SUMMER}}和{{SEASON.AUTUMN}}都可以种植。
SEED.CORN_SEED,,Corn,玉米
SEED.CORN_SEED.TOOLTIP,{{VEGETABLE.CORN.TOOLTIP}},"A cereal grain also known as maize. It produces a bountiful crop but takes around 2 seasons to grow and can not survive {{SEASON.WINTER}}, so it requires planting in early {{SEASON.SPRING}}.",别名为玉蜀黍的谷物。产量高，但生长需要两季，而且在{{SEASON.WINTER}}无法存活，因此需要在{{SEASON.SPRING}}初期播种。
SEED.DEATH_CAP_SPAWN,,Death cap,死亡帽
SEED.DEATH_CAP_SPAWN.TOOLTIP,{{VEGETABLE.DEATH_CAP_MUSHROOM.TOOLTIP}},"A very poisonous mushroom with a wide, flat cap. Eating even a tiny amount will almost certainly cause poisoning which can lead to death.",菌盖宽扁的剧毒蘑菇。即使食用了少量，也会危及生命。
SEED.ELFSBANE_SPAWN,,Elfsbane,精灵之祸
SEED.ELFSBANE_SPAWN.TOOLTIP,{{VEGETABLE.ELFSBANE_MUSHROOM.TOOLTIP}},"This mushroom has a simple, flavourless taste to most humanoids. Strangely, it tastes absolutely disgusting to elves, who often react with explosive vomiting upon consumption, or in extreme cases, a heart attack.",对绝大多数类人生物而言，这种蘑菇没有味道。但对精灵来说，它的味道恶心至极，食用后常常会导致剧烈呕吐，甚至极端情况下会引发心脏病。
SEED.FIST_SPAWN,,Fist,拳菇
SEED.FIST_SPAWN.TOOLTIP,{{VEGETABLE.FIST_MUSHROOM.TOOLTIP}},A black-blue mushroom with a metallic taste. It is named for a group of bards from the age of darkness.,蘑菇呈蓝黑色，入口为金属味。黑暗时代的吟游诗人为它取了这个名字。
SEED.GLOW_SPAWN,,Glow,微光菇
SEED.GLOW_SPAWN.TOOLTIP,{{VEGETABLE.GLOW_MUSHROOM.TOOLTIP}},A magic-infused mushroom that gives off light and changes colour with the seasons.,蕴含魔力的蘑菇，它散发的光芒会随着季节的变化而变色。
SEED.HEMP_SEED,,Hemp,火麻
SEED.HEMP_SEED.TOOLTIP,,Used to produce rope and fabric after it hsa been processed.,经过处理后能制作绳索和布料。
SEED.HOPS_SEED,,Hops,啤酒花
SEED.HOPS_SEED.TOOLTIP,{{VEGETABLE.HOPS.TOOLTIP}},A flower used for the flavouring of beer. Must be planted in {{SEASON.SPRING}}.,能为啤酒增添风味的花。必须在{{SEASON.SPRING}}播种。
SEED.MILTONIA_SPAWN,,Miltonia,堇花兰
SEED.MILTONIA_SPAWN.TOOLTIP,{{VEGETABLE.MILTONIA_MUSHROOM.TOOLTIP}},"Once thought to exist only in the Hudds region, it is now found throughout the world.",最初人们以为这种植物只存在于哈德斯地区，但如今世界各地都能见到。
SEED.POTATO_SEED,,Potato,土豆
SEED.POTATO_SEED.TOOLTIP,{{VEGETABLE.POTATO.TOOLTIP}},"A starchy root vegetable which can survive {{SEASON.WINTER}} making it a good choice for most settlements. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}.",富含淀粉的根茎类蔬菜，由于在{{SEASON.WINTER}}也能生存，所以对大多数殖民者来说都是不错的选择。{{SEASON.SPRING}}，{{SEASON.SUMMER}}和{{SEASON.AUTUMN}}都可以种植。
SEED.PURPLE_HELMET_SPAWN,,Purple helmet,紫盔
SEED.PURPLE_HELMET_SPAWN.TOOLTIP,{{VEGETABLE.PURPLE_HELMET_MUSHROOM.TOOLTIP}},"Fat Hat, Plump Turban, Puffy Helmet; This fabled mushroom goes by many names. Legend holds that long ago, many communities of dwarves subsisted entirely on a domesticated strain of this fungus.",大帽子、蓬松头巾、圆头盔；这种传说中的蘑菇有许多名字。传说很久以前，许多矮人部落都靠种植这种蘑菇维持生活。
SEED.ROCIOMYCOTA_MUSHROOM_SPAWN,,Rociomycota,露菇
SEED.ROCIOMYCOTA_MUSHROOM_SPAWN.TOOLTIP,{{VEGETABLE.ROCIOMYCOTA_MUSHROOM.TOOLTIP}},A white and black spotted mushroom. It has been known to affect the appearance of those who ingest it.,黑白相间且有斑点的蘑菇。据说食用后能影响外表。
SEED.SUNGLOW_SPAWN,,Sunglow,霞菇
SEED.SUNGLOW_SPAWN.TOOLTIP,{{VEGETABLE.SUNGLOW_MUSHROOM.TOOLTIP}},A bright yellow mushroom which glows with the appearance of sunlight. It loses this glow the moment it is harvested.,亮黄色的蘑菇，散发的光宛如阳光。采收后便不会发光。
SEED.SYRUP_POWDER_SPAWN,,Syrup powder,糖浆粉菇
SEED.SYRUP_POWDER_SPAWN.TOOLTIP,{{VEGETABLE.SYRUP_POWDER_MUSHROOM.TOOLTIP}},"A round orange/yellow mushroom with a white underside. It is said to have been used by mages long ago, but for what purpose, nobody knows.",橙色或黄色的圆形蘑菇，底部呈白色。据说很久以前的魔法师会使用这种蘑菇，但具体目的不得而知。
SEED.TOMATO_SEED,,Tomato,番茄
SEED.TOMATO_SEED.TOOLTIP,{{VEGETABLE.TOMATO.TOOLTIP}},A plant which grows large red berries often used as a vegetable. Can only be planted in {{SEASON.SPRING}}.,草本植物，浆果呈红色，多为扁球状或近球状，用作蔬菜食用。仅能在{{SEASON.SPRING}}播种。
SEED.WHEAT_SEED,,Wheat,小麦
SEED.WHEAT_SEED.TOOLTIP,{{VEGETABLE.WHEAT.TOOLTIP}},"A cereal grain generally used for the production of bread. It can survive {{SEASON.WINTER}} but takes a while to grow, so it is either planted in {{SEASON.SPRING}} or {{SEASON.AUTUMN}}.",通常用来制作面包的谷物。能在{{SEASON.WINTER}}生存，但生长周期较长，所以通常在{{SEASON.SPRING}}或 {{SEASON.AUTUMN}}播种。

SHRUB.DESCRIPTION,Shrub or bush should do,Bush,灌木

SKILL.ARCHERY.FEMALE_NOUN,,Archer,弓箭手
SKILL.ARCHERY.MALE_NOUN,,Archer,弓箭手
SKILL.ARCHERY.TOOLTIP,,Skill with the bow,娴熟使用弓箭
SKILL.AXES.FEMALE_NOUN,,Axewoman,女斧兵
SKILL.AXES.MALE_NOUN,,Axeman,斧兵
SKILL.AXES.TOOLTIP,,Skill with axes,娴熟使用斧头
SKILL.CROSSBOWS.FEMALE_NOUN,,Arbalist,弩手
SKILL.CROSSBOWS.MALE_NOUN,,Arbalist,弩手
SKILL.CROSSBOWS.TOOLTIP,,Skill with the crossbow,娴熟使用弩箭
SKILL.MACES.FEMALE_NOUN,,Hammerer,战锤手
SKILL.MACES.MALE_NOUN,,Hammerer,战锤手
SKILL.MACES.TOOLTIP,,Skill with hammers and maces,娴熟使用战锤
SKILL.SWORDSMANSHIP.FEMALE_NOUN,,Swordswoman,女剑士
SKILL.SWORDSMANSHIP.MALE_NOUN,,Swordsman,剑士
SKILL.SWORDSMANSHIP.TOOLTIP,,Skill with the sword,娴熟使用剑
SKILL.UNARMED_COMBAT.FEMALE_NOUN,,Brawler,格斗家
SKILL.UNARMED_COMBAT.MALE_NOUN,,Brawler,格斗家
SKILL.UNARMED_COMBAT.TOOLTIP,,Skill in unarmed combat,娴熟使用徒手战斗

SKIN.BOAR_HIDE,,Boar,野猪
SKIN.DEER_HIDE,,Deer,鹿
SKIN.DWARF_HIDE,,Dwarf,矮人
SKIN.ELEPHANT_HIDE,,Elephant,大象
SKIN.HORSE_HIDE,,Horse,马

STATUS.ALCOHOL_WITHDRAWL,,Alcohol withdrawl,酒精戒断症
STATUS.BLEEDING,,Bleeding,流血
STATUS.BLINDED,,Blind,失明
STATUS.DEATH,,Dead,死亡
STATUS.DRUNK,,Drunk,醉醺醺
STATUS.DYING_OF_HUNGER,,Dying of hunger,饥肠辘辘
STATUS.DYING_OF_THIRST,,Dying of thirst,口干舌燥
STATUS.EXHAUSTED,,Exhausted,疲惫不堪
STATUS.INTERNAL_BLEEDING,,Internal bleeding,内出血
STATUS.KNOCKED_UNCONSCIOUS,,Unconscious,失去意识
STATUS.LOSS_MAIN_HAND,,Loss of main hand,失去主手
STATUS.LOSS_OFF_HAND,,Loss of off hand,失去副手
STATUS.MOVEMENT_IMPAIRED,,Impaired movement,行动障碍
STATUS.ON_FIRE,,On fire,着火
STATUS.POISONED,,Poisoned,中毒
STATUS.TEMPORARILY_BLINDED,,Temporarily blinded,暂时失明
STATUS.VERY_HUNGRY,,Very hungry,饥饿
STATUS.VERY_THIRSTY,,Very thirsty,口渴

STOCKPILE.GROUP.FOOD,,Food,食物
STOCKPILE.GROUP.FOOD.TOOLTIP,,Stores harvested fruit and vegetables which can expire.,存放会变质的水果和蔬菜。
STOCKPILE.GROUP.FUEL,,Fuel,燃料
STOCKPILE.GROUP.GRANARY,,Granary,粮仓
STOCKPILE.GROUP.GRANARY.TOOLTIP,,Stores grains and seeds which will not expire.,存放会变质的谷物和种子。
STOCKPILE.GROUP.PRODUCTS,,Products,产品
STOCKPILE.GROUP.RAW_MATERIALS,,Raw materials,原材料
STOCKPILE.GROUP.SEEDS,,Seeds,种子
STOCKPILE.GROUP.TOOLS,,Tools,工具
STOCKPILE.GROUP.TOOLS.TOOLTIP,,Stores tools required for working on jobs.,存放工作所需的器具。
STOCKPILE.GROUP.TREASURE,,Treasure,宝藏
STOCKPILE.GROUP.WEAPONS,,Weapons,武器
STOCKPILE.GROUP.WEAPONS.TOOLTIP,,Stores harvested fruit and vegetables which can expire.,存放会变质的水果和蔬菜。

STONE.BASALT.ADJECTIVE,,Basalt,玄武岩
STONE.BASALT.NOUN,,Basalt,玄武岩
STONE.BASALT.TOOLTIP,,An igneous rock formed by the rapid cooling of lava. Almost all of the volcanic rock in the world is basalt.,岩浆快速冷却形成的火成岩。世界上几乎所有的火山岩都是玄武岩。
STONE.DOLOSTONE.ADJECTIVE,,Dolostone,白云岩
STONE.DOLOSTONE.NOUN,,Dolostone,白云岩
STONE.DOLOSTONE.TOOLTIP,,"A sedimentary rock mostly made up of the mineral dolomite, so it is also known as dolomite rock.",主要由白云石组成的沉积岩，因此而得名。
STONE.FRONITE.ADJECTIVE,,Frónite,冰原石
STONE.FRONITE.NOUN,,Frónite,冰原石
STONE.FRONITE.TOOLTIP,,A blue-hued rock mostly found on an icy island to the north. It has a high iron content.,通体泛蓝的矿石，常见于北方冰雪覆盖的岛屿。具有很高的铁含量。
STONE.GRANITE.ADJECTIVE,,Granite,花岗岩
STONE.GRANITE.NOUN,,Granite,花岗岩
STONE.GRANITE.TOOLTIP,,"A common type of igneous rock. It has a large proportion of quartz, making it good for locating certain gemstones.",非常常见的火成岩。石英的含量较高，因此非常适合用来定位寻找特定的宝石。
STONE.LIMESTONE.ADJECTIVE,,Limestone,石灰岩
STONE.LIMESTONE.NOUN,,Limestone,石灰岩
STONE.LIMESTONE.TOOLTIP,,A lightly-coloured sedimentary rock which makes for a good building material. It is also used as a flux in the production of {{METAL.STEEL.NOUN}}.,灰白色的沉积岩，优良的建筑材料。在冶炼{{METAL.STEEL.NOUN}}的工序中也能当作熔剂。
STONE.MARBLE.ADJECTIVE,,Marble,大理石
STONE.MARBLE.NOUN,,Marble,大理石
STONE.MARBLE.TOOLTIP,,A metamorphic rock which is used as a high-quality material for sculpture and masonry due to its brilliant appearance.,变质岩，凭借出色的外观成为了雕刻和石工的高质量材料。
STONE.SANDSTONE.ADJECTIVE,,Sandstone,砂岩
STONE.SANDSTONE.NOUN,,Sandstone,砂岩
STONE.SANDSTONE.TOOLTIP,,"A sedimentary rock composed of sand-like fragments. ","由各种砂粒胶结而成的沉积岩。 "
STONE.SHALE.ADJECTIVE,,Shale,页岩
STONE.SHALE.NOUN,,Shale,页岩
STONE.SHALE.TOOLTIP,,A fine-grained sedimentary rock composed of pressurized mud. It can be easily broken into thin layers.,由黏土沉积经压力形成的细颗粒沉积岩。很容易断裂成较薄的岩层。
STONE.SLATE.ADJECTIVE,,Slate,板岩
STONE.SLATE.NOUN,,Slate,板岩
STONE.SLATE.TOOLTIP,,A metamorphic rock that is usually formed out of {{STONE.SHALE.NOUN}}. It is often made into tiles for roofing or writing.,通常由{{STONE.SHALE.NOUN}}形成的变质岩。通常用来作为屋顶的瓦或书写用的黑板。

TOOL.AXE.NOUN,,Axe,斧头
TOOL.AXE.PLURAL,,Axes,斧头
TOOL.AXE.TOOLTIP,,Used to chop down trees. The primary tool of a {{PROFESSION.WOODCUTTER}}.,砍伐树木的工具。{{PROFESSION.WOODCUTTER}}的主要工具。
TOOL.CHISEL.NOUN,,Chisel,凿子
TOOL.CHISEL.PLURAL,,Chisels,凿子
TOOL.CHISEL.TOOLTIP,,Used to sculpt rock into shape. One of the tools used by a {{PROFESSION.STONEMASON}}.,用来将石料雕塑成型的器具。{{PROFESSION.STONEMASON}}使用的工具之一。
TOOL.FISHING.ROD.NOUN,,Fishing rod,鱼竿
TOOL.FISHING.ROD.PLURAL,,Fishing rods,鱼竿
TOOL.FISHING.ROD.TOOLTIP,,Used to catch fish from a body of water. The primary tool of a {{PROFESSION.FISHER}}.,钓鱼用具。{{PROFESSION.FISHER}}的主要工具。
TOOL.KITCHEN.KNIFE.NOUN,,Kitchen knife,厨刀
TOOL.KITCHEN.KNIFE.PLURAL,,Kitchen knives,厨刀
TOOL.KITCHEN.KNIFE.TOOLTIP,,"Used to prepare food, particularly meat.",制备食材（尤其肉类）的工具。
TOOL.LARGE.HAMMER.NOUN,,Large hammer,大锤
TOOL.LARGE.HAMMER.PLURAL,,Large hammers,大锤
TOOL.LARGE.HAMMER.TOOLTIP,,Used to bash large items of stone and metal into shape. The primary tool of a {{PROFESSION.BLACKSMITH}}.,将较大的石料和金属捶打成型的工具。{{PROFESSION.BLACKSMITH}}的主要工具。
TOOL.PICKAXE.NOUN,,Pickaxe,矿镐
TOOL.PICKAXE.PLURAL,,Pickaxes,矿镐
TOOL.PICKAXE.TOOLTIP,,Used to break stone into smaller pieces. The primary tool of a {{PROFESSION.MiNER}}.,用来打碎矿石的工具。{{PROFESSION.MiNER}}的主要工具。
TOOL.PLANE.NOUN,A carpenter's plane,Plane,刨子
TOOL.PLANE.PLURAL,A carpenter's plane,Planes,刨子
TOOL.PLANE.TOOLTIP,,Used to shave wooden furniture and items into shape. The primary tool of a {{PROFESSION.CARPENTER}}.,用来修整木制品和家具的工具。{{PROFESSION.CARPENTER}}的主要工具。
TOOL.ROLLING.PIN.NOUN,,Rolling pin,擀面杖
TOOL.ROLLING.PIN.PLURAL,,Rolling pins,擀面杖
TOOL.ROLLING.PIN.TOOLTIP,,Used to prepare dough. One of the tools used by a {{PROFESSION.CHEF}}.,用来捻压面团的烹饪工具。{{PROFESSION.CHEF}}使用的工具。
TOOL.SAW.NOUN,A carpenter's saw,Saw,锯子
TOOL.SAW.PLURAL,A carpenter's saw,Saws,锯子
TOOL.SAW.TOOLTIP,,Used to cut wood into shape. Required for cutting lumber in the {{ROOMS.SAWMILL}}.,用来切割木头的工具。{{ROOMS.SAWMILL}}用来切割木材的必备工具。
TOOL.SMALL.HAMMER.NOUN,,Hammer,锤子
TOOL.SMALL.HAMMER.PLURAL,,Hammers,锤子
TOOL.SMALL.HAMMER.TOOLTIP,,Used to bash small items of stone and metal into shape. One of the tools used by a {{PROFESSION.BLACKSMITH}}.,将较小的石料和金属捶打成型的工具。{{PROFESSION.BLACKSMITH}}使用的工具。
TOOL.TONGS.NOUN,A blacksmith's tongs,Tongs,钳子
TOOL.TONGS.PLURAL,A blacksmith's tongs,Sets of tongs,钳子
TOOL.TONGS.TOOLTIP,,Used to hold extremely hot metal items. Used in the process of smelting metal ore.,用来夹持滚烫的金属器具。熔炼金属矿物的过程中也会用到。

TREASURE.COIN.NOUN,,Coin,钱币
TREASURE.COIN.PLURAL,,Coins,钱币
TREASURE.COIN.TOOLTIP,,Minted coins used as a form of currency for trading.,铸造而成的钱币，交易所用的货币。
TREASURE.GEM.NOUN,,Gem,宝石
TREASURE.GEM.PLURAL,,Gems,宝石
TREASURE.GEM.TOOLTIP,,Gems that have been cut and polished to enhance their beauty. Most commonly used as ornamentation.,经过切割和打磨的宝石能绽放更夺目的美。通常用作装饰品。

TREE.DESCRIPTION,E.g. “Oak tree”,{{materialType.noun}} tree,{{materialType.noun}}树

TUTORIAL.COMPLETED.A,,This covers the basics of playing.,这包含了游戏的基础知识。
TUTORIAL.COMPLETED.B,,"You should aim to set up a functioning {{ROOMS.SMITHY}} with a {{FURNITURE.FORGE}} provided with fuel and refined metal ore, to produce metal items.",你的目标是修建拥有{{FURNITURE.FORGE}}的{{ROOMS.SMITHY}}，然后提供燃料和精炼的金属矿石来生产金属制品。
TUTORIAL.COMPLETED.C,,"Also, you should move your settlement underground or at least build a roof overhead to protect your Settlers and iron items from the weather.",另外，你应该把你的殖民地迁至地下或者至少搭建屋顶，为你的居民和铁制品遮风挡雨。
TUTORIAL.COMPLETED.D,,Good luck!,祝你好运！
TUTORIAL.CRAFTING.A,,Rooms with furniture that produce items are controlled using Import and Export Pallets.,进出口托板负责产品的运输。
TUTORIAL.CRAFTING.B,,Place at least one Import Pallet and Export Pallet in both the Sawmill and Masonry Workshop.,在锯木厂和石工工坊部署至少1个进口托板和出口托板。
TUTORIAL.CRAFTING.C,,"Also, place a Products Stockpile which will hold the items that are produced.",此外，修建产品仓库能够帮助存储。
TUTORIAL.CRAFTING_SELECTION.A,,Select each Import and Export Pallet and select the item to be imported or exported from the room.,选择进口和出口托板，然后选择从房间运出或运进的物品。
TUTORIAL.CRAFTING_SELECTION.B,,"In the Sawmill, import Logs and export Planks.",在锯木厂，运进木材，运出木板。
TUTORIAL.CRAFTING_SELECTION.C,,"In the Masonry Workshop, import Rough stone boulders and export Blocks.",在石工工坊，运进石料，运出石块。
TUTORIAL.DISMISS_DIALOG.CONFIRM_TEXT,,Dismiss Tutorial,关闭教程
TUTORIAL.DISMISS_DIALOG.DESCRIPTION,,Are you sure you want to end the tutorial?,确定要结束教程？
TUTORIAL.DISMISS_DIALOG.TITLE,,End Tutorial?,结束教程？
TUTORIAL.FARMING.A,,Click on Rooms and select Farm Plot. They are listed alphabetically.,点击房间并选择农田，它们是按字母顺序排列的。
TUTORIAL.FARMING.B,,Drag out 4 separate Farm Plots in a grassy area.,在草地圈出4块单独的农田。
TUTORIAL.FARMING_2.A,,Click on each Farm Plot and select a Crop to be planted.,点击每块农田并选择种植的农作物。
TUTORIAL.FARMING_2.A.STEAMDECK,,Press R2 on each Farm Plot and select a Crop to be planted.,对每块农田按R2，然后选择种植的农作物。
TUTORIAL.FARMING_2.B,,"Skip Hemp, Barley and Hops for now as these are are used for Textiles and Brewing.",暂时跳过火麻、大麦和啤酒花，因为它们是用来纺织和酿酒的原料。
TUTORIAL.FEASTING_HALL.A,,Settlers eat in the Feasting Hall.,宴会厅是殖民者们的进餐场所。
TUTORIAL.FEASTING_HALL.B,,The Cauldron furniture for the Feasting Hall is only completed when a Cauldron containing soup is available.,若宴会厅的坩埚没有汤食，那将是不完整的。
TUTORIAL.FEASTING_HALL.C,,Select Rooms and place a Feasting Hall. Mark a Cauldron to be placed in the Feasting Hall later.,选择房间并放置宴会厅。接着标记坩埚放在宴会厅。
TUTORIAL.FOOD_COMPLETE.A,,This simple setup will ensure your Settlers have food once the crops are harvested later in the year.,这样简单的配置能保证你的殖民者在收获农作物后有食物。
TUTORIAL.FOOD_COMPLETE.B,,You can also fish from the river or hunt animals once you have set up a military to provide more food.,在建立军队后，你可以通过钓鱼和狩猎获得更多食物。
TUTORIAL.KITCHEN.A,,Crops are harvested in Autumn and should be stored in a Food Stockpile.,农作物在秋季收获，然后储存在食物仓库中。
TUTORIAL.KITCHEN.B,,To get the most from your crops it is best to produce soup from vegetables or bake bread from grain.,若想充分利用农作物，最好把蔬菜做成汤或把谷物做成面包。
TUTORIAL.KITCHEN.C,,"Select Rooms and place a Kitchen. Unlike Farm Plots, most rooms need furniture to function.",选择并部署厨房。与农田不同，大多数房间的运转需要家具设备。
TUTORIAL.MAIN_VIEW.A,,The controls in the lower-left corner of the screen are the main way of interacting with the game.,屏幕左下角的控制方案是游戏中主要的交互方式。
TUTORIAL.MAIN_VIEW.B,,"You can assign orders, queue rooms and furniture to be created, and also adjust the priority of tasks.",你可以分配指令，排列修建房间和家具的顺序，以及调整任务的优先级。
TUTORIAL.MAIN_VIEW.C,,You can right-click to go back to a previous menu or clear the current selection.,你可以点击鼠标右键返回上级菜单或清除当前选择。
TUTORIAL.MAIN_VIEW.C.STEAMDECK,,You can press L2 to go back to a previous menu or clear the current selection.,你可以按L2键返回上级菜单或清除当前选择。
TUTORIAL.MANAGEMENT_BUTTONS.DESCRIPTION,,The icons to the left of the time and date are various management and overview screens.,时间和日期左侧的图标是管理和总览界面。
TUTORIAL.MANAGEMENT_BUTTONS.RESOURCE_MANAGEMENT,,View the Resources management screen,查看资源管理界面
TUTORIAL.MANAGEMENT_BUTTONS.SETTLER_MANAGEMENT,,View the Settlers management screen,查看殖民者管理界面
TUTORIAL.MINIMAP.DESCRIPTION,,This is the Minimap.,这是小地图。
TUTORIAL.MINIMAP.PROGRESS,,Click on the Minimap to jump to a location,点击小地图跳转至相应的地点。
TUTORIAL.MINIMAP.PROGRESS.STEAMDECK,,Press R2 with the cursor on the Minimap to jump to a location,当光标在小地图上时按R2可跳转至相应的地点。
TUTORIAL.NEEDS.A,,"Settlers need Food, Drink and Sleep.",殖民者需要食物、水和睡觉。
TUTORIAL.NEEDS.B,,For now they can drink from the river and sleep on the ground.,目前而言，他们能饮用河水，睡在地上。
TUTORIAL.NEEDS.C,,However to eat they must grow crops.,但想要填饱肚子，就必须种植农作物。
TUTORIAL.PROFESSIONS.A,,"Each Settler can have up to 3 Professions assigned, which determines which jobs they will do.",你能为每名殖民者分配最多3种职业，这将影响他们的行为。
TUTORIAL.PROFESSIONS.B,,You can select a Settler to view or change their professions. This can also be done from the Settlers Management screen.,你可以选中殖民者查看或更改职业，另外从殖民者管理界面也可以做到。
TUTORIAL.PROFESSIONS.C,,Assign at least 3 Settlers as Farmers. Be sure to also keep some assigned as Haulers as they're responsible for moving items around.,分配至少3名殖民者作为农夫。但务必也要分配搬运工，因为四处运送货物需要他们。
TUTORIAL.PROGRESS_DESCRIPTION.FARM_PLOT_SELECTIONS,Used to show a progress indicator for how many farm plots have a crop selected e.g. 2 of 10 farm plots with a crop assigned,{{ROOMS.FARM.PLURAL}} with a crop assigned,{{ROOMS.FARM.PLURAL}}已分配农作物
TUTORIAL.PROGRESS_DESCRIPTION.PROFESSIONS_ASSIGNED,Used to show a progress indicator for how many of a certain profession have been assigned e.g. 2 of 10 farmers assigned,{{professionPlural}} assigned,{{professionPlural}}已分配
TUTORIAL.PROGRESS_DESCRIPTION.TEXT,Used to show a progress indicator in the form: 2 of 10 stone blocks,{{currentQuantity}} of {{requiredQuantity}} {{targetDescription}},{{currentQuantity}}/{{requiredQuantity}} {{targetDescription}}
TUTORIAL.PROGRESS_DESCRIPTION.TILES,Used to show a progress indicator for a certain number of tiles e.g. 2 of 10 farm plot tiles,{{roomName}} tiles,{{roomName}}区格
TUTORIAL.RESOURCES.A,,Many items are crafted out of Wooden Planks and Stone Blocks. It's important to maintain a steady supply of these.,许多物品的制作都需要用到木板和石块，所以保障充足的存量很重要。
TUTORIAL.RESOURCES.B,,Select Orders > Mine. Drag a selection over the mountain area to order your Miners to start mining.,选择命令>采矿。选中山脉区域，命令你的矿工开始采矿。
TUTORIAL.RESOURCES.C,,Also select Orders > Chop. Drag a selection over a forested area to order your Woodcutters to start chopping trees.,同理，选择命令>伐木。选中森林区域，命令你的伐木工开始砍木材。
TUTORIAL.RESOURCE_COLLECTION.A,,"With all of this in place, your workshops will start producing Wooden Planks and Stone Blocks.",等这些就绪后，你的工坊就能开始制作木板和石块了。
TUTORIAL.RESOURCE_COLLECTION.B,,Continue until you have a reasonable supply of Planks and Blocks.,继续采集资源，你需要充足的木板和石块。
TUTORIAL.SAVING.A,,Progress is saved automatically at midnight or when you exit the game.,午夜时分或退出游戏时会自动保存游戏进度。
TUTORIAL.SAVING.A.STEAMDECK,,Progress is saved automatically at midnight each day.,每天午夜时都会自动保存进度。
TUTORIAL.SAVING.B,,You can also press F5 to Quicksave.,你也可以按下F5键快速存档。
TUTORIAL.SAVING.B.STEAMDECK,,The game is also saved when you quit from the main menu.,当你从主菜单退出游戏时也会保存游戏。
TUTORIAL.SAVING.C,,Press F5 to Quicksave now,按F5快速存档
TUTORIAL.SHOW_LABEL,,Show Tutorial,显示教程
TUTORIAL.START.CAMERA_CONTROLS_1,,Press the WASD keys to move the camera around,使用WASD键移动镜头
TUTORIAL.START.CAMERA_CONTROLS_1.STEAMDECK,,Use the Left Stick or D-Pad to move the camera around,使用左摇杆或者十字键移动镜头
TUTORIAL.START.CAMERA_CONTROLS_2,,Press Q & E or scroll the mouse wheel to zoom,按Q和E键或者使用鼠标滚轮缩放视野
TUTORIAL.START.CAMERA_CONTROLS_2.STEAMDECK,,Press L1 and R1 to zoom in and out,按L1和R1缩放视野
TUTORIAL.START.INTRO_1,,Welcome to Mountaincore! This is an Early Access release with gameplay and features still in development.,欢迎来到Mountaincore！游戏尚处于抢先体验阶段，内容仍在开发中。
